scenario,step,lane_id,queue_length,waiting_time,vehicle_count,throughput,signal_phase,emergency_count,accident_alert
normal,55,north,42,126,2,0,south,0,False
normal,55,east,19,57,2,0,south,0,False
normal,55,south,43,129,3,5,south,0,False
normal,55,west,59,177,3,0,south,0,False
normal,56,north,44,132,2,0,west,0,False
normal,56,east,20,60,1,0,west,0,False
normal,56,south,45,135,2,0,west,0,False
normal,56,west,56,168,2,5,west,0,False
normal,57,north,44,132,0,0,west,0,False
normal,57,east,22,66,2,0,west,0,False
normal,57,south,47,141,2,0,west,0,False
normal,57,west,53,159,2,5,west,0,False
normal,58,north,45,135,1,0,west,0,False
normal,58,east,23,69,1,0,west,0,False
normal,58,south,47,141,0,0,west,0,False
normal,58,west,50,150,2,5,west,0,False
normal,59,north,48,144,3,0,west,0,False
normal,59,east,27,81,4,0,west,0,False
normal,59,south,47,141,0,0,west,0,False
normal,59,west,47,141,2,5,west,0,False
normal,60,north,51,153,3,0,west,0,False
normal,60,east,28,84,1,0,west,0,False
normal,60,south,51,153,4,0,west,0,False
normal,60,west,42,126,0,5,west,0,False
normal,61,north,52,156,1,0,west,0,False
normal,61,east,32,96,4,0,west,0,False
normal,61,south,52,156,1,0,west,0,False
normal,61,west,39,117,2,5,west,0,False
normal,62,north,54,162,2,0,west,0,False
normal,62,east,34,102,2,0,west,0,False
normal,62,south,55,165,3,0,west,0,False
normal,62,west,36,108,2,5,west,0,False
normal,63,north,56,168,2,0,west,0,False
normal,63,east,35,105,1,0,west,0,False
normal,63,south,56,168,1,0,west,0,False
normal,63,west,31,93,0,5,west,0,False
normal,64,north,53,159,2,5,north,0,False
normal,64,east,38,114,3,0,north,0,False
normal,64,south,60,180,4,0,north,0,False
normal,64,west,33,99,2,0,north,0,False
normal,65,north,50,150,2,5,north,0,False
normal,65,east,38,114,0,0,north,0,False
normal,65,south,63,189,3,0,north,0,False
normal,65,west,34,102,1,0,north,0,False
normal,66,north,47,141,2,5,north,0,False
normal,66,east,43,129,5,0,north,0,False
normal,66,south,66,198,3,0,north,0,False
normal,66,west,35,105,1,0,north,0,False
normal,67,north,43,129,1,5,north,0,False
normal,67,east,45,135,2,0,north,0,False
normal,67,south,67,201,1,0,north,0,False
normal,67,west,36,108,1,0,north,0,False
normal,68,north,41,123,3,5,north,0,False
normal,68,east,48,144,3,0,north,0,False
normal,68,south,68,204,1,0,north,0,False
normal,68,west,39,117,3,0,north,0,False
normal,69,north,36,108,0,5,north,0,False
normal,69,east,50,150,2,0,north,0,False
normal,69,south,70,210,2,0,north,0,False
normal,69,west,39,117,0,0,north,0,False
normal,70,north,34,102,3,5,north,0,False
normal,70,east,50,150,0,0,north,0,False
normal,70,south,74,222,4,0,north,0,False
normal,70,west,40,120,1,0,north,0,False
normal,71,north,30,90,1,5,north,0,False
normal,71,east,51,153,1,0,north,0,False
normal,71,south,74,222,0,0,north,0,False
normal,71,west,42,126,2,0,north,0,False
normal,72,north,32,96,2,0,east,0,False
normal,72,east,47,141,1,5,east,0,False
normal,72,south,77,231,3,0,east,0,False
normal,72,west,44,132,2,0,east,0,False
normal,73,north,33,99,1,0,east,0,False
normal,73,east,44,132,2,5,east,0,False
normal,73,south,78,234,1,0,east,0,False
normal,73,west,47,141,3,0,east,0,False
normal,74,north,33,99,0,0,east,0,False
normal,74,east,42,126,3,5,east,0,False
normal,74,south,87,261,9,0,east,0,False
normal,74,west,49,147,2,0,east,0,False
normal,75,north,35,105,2,0,east,0,False
normal,75,east,40,120,3,5,east,0,False
normal,75,south,89,267,2,0,east,0,False
normal,75,west,50,150,1,0,east,0,False
normal,76,north,37,111,2,0,east,0,False
normal,76,east,39,117,4,5,east,0,False
normal,76,south,94,282,5,0,east,0,False
normal,76,west,51,153,1,0,east,0,False
normal,77,north,40,120,3,0,east,0,False
normal,77,east,35,105,1,5,east,0,False
normal,77,south,96,288,2,0,east,0,False
normal,77,west,53,159,2,0,east,0,False
normal,78,north,43,129,3,0,east,0,False
normal,78,east,32,96,2,5,east,0,False
normal,78,south,98,294,2,0,east,0,False
normal,78,west,54,162,1,0,east,0,False
normal,79,north,46,138,3,0,east,0,False
normal,79,east,29,87,2,5,east,0,False
normal,79,south,107,321,9,0,east,0,False
normal,79,west,54,162,0,0,east,0,False
normal,80,north,47,141,1,0,south,0,False
normal,80,east,31,93,2,0,south,0,False
normal,80,south,104,312,2,5,south,0,False
normal,80,west,55,165,1,0,south,0,False
normal,81,north,48,144,1,0,south,0,False
normal,81,east,33,99,2,0,south,0,False
normal,81,south,101,303,2,5,south,0,False
normal,81,west,57,171,2,0,south,0,False
normal,82,north,49,147,1,0,south,0,False
normal,82,east,37,111,4,0,south,0,False
normal,82,south,97,291,1,5,south,0,False
normal,82,west,57,171,0,0,south,0,False
normal,83,north,51,153,2,0,south,0,False
normal,83,east,37,111,0,0,south,0,False
normal,83,south,93,279,1,5,south,0,False
normal,83,west,58,174,1,0,south,0,False
normal,84,north,53,159,2,0,south,0,False
normal,84,east,40,120,3,0,south,0,False
