timestamp,selected_phase,green_duration,reason,decision_latency_seconds,scenario,controller
19,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
20,north,3,dqn_queue_pressure,6e-06,accident,ai_controller
21,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
22,north,3,dqn_queue_pressure,8e-06,accident,ai_controller
23,east,3,dqn_queue_pressure,7e-06,accident,ai_controller
24,west,3,dqn_queue_pressure,6e-06,accident,ai_controller
25,north,3,dqn_queue_pressure,6e-06,accident,ai_controller
26,south,3,dqn_policy,6e-06,accident,ai_controller
27,east,3,dqn_queue_pressure,6e-06,accident,ai_controller
28,south,3,dqn_policy,6e-06,accident,ai_controller
29,east,3,dqn_queue_pressure,6e-06,accident,ai_controller
30,north,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
31,north,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
32,west,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
33,east,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
34,north,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
35,north,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
36,north,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
37,west,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
38,east,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
39,north,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
40,west,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
41,east,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
42,west,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
43,east,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
44,north,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
45,east,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
46,north,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
47,east,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
48,west,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
49,west,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
50,north,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
51,west,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
52,west,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
53,east,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
54,east,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
55,north,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
56,west,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
57,north,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
58,west,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
59,east,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
60,east,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
61,south,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
62,south,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
63,south,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
64,south,3,dqn_policy_accident_aware,6e-06,accident,ai_controller
65,south,3,dqn_policy_accident_aware,7e-06,accident,ai_controller
